,ID,Year,Date,Database,Location,City..Country,Origin,Transit,Destination,Weight..kg.,Number,Airline,Mode.of.Transport,Method.of.Detection,Obfuscation.Method,Species
285,285,2014,4-Mar-14,Reptiles,Ivato Airport,"Antananarivo, Madagascar","Antananarivo, Madagascar","Johannesburg, South Africa; Abu Dhabi, UAE","Moscow, Russia",,50,,Luggage,,Wrapped in paper inside a brown bag containing Malagasy handcrafts,Turtles
385,385,2016,28-Jan-16,Reptiles,O. R. Tambo Airport,"Johannesburg, South Africa","Johannesburg, South Africa",Vietnam,China,,230,,Unknown,Lack of paperwork,Plastic Boxes,African Bullfrogs; rain frogs
413,413,2009,1-Nov-09,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa",,,,8.34,3,,Unknown,,,
422,422,2010,1-Jun-10,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa",,,,,12,,Unknown,,,
423,423,2010,1-Jun-10,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa",,,,,6,,Unknown,,,
424,424,2010,1-Jun-10,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa",,,,5.56,2,,Unknown,,,
425,425,2010,9-Jun-10,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa",,,,19.46,7,,Luggage,,,
426,426,2010,11-Jun-10,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa",,,,50.04,18,,Luggage,,,
427,427,2010,30-Jun-10,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa","Johannesburg, South Africa",,Vietnam,16,7,,Unknown,,,
431,431,2011,10-Dec-11,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa","Johannesburg, South Africa",,,,2,,Luggage,,,
462,462,2014,23-Mar-14,Rhino Horn,Hosea Kutako Airport,"Windhoek, Namibia","Windhoek, Namibia","Johannesburg, South Africa","Hong Kong, China",,14,,Unknown,,"Plastic, Foil, And Clothes",
466,466,2014,31-Oct-14,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa","Maputo, Mozambique","Johannesburg, South Africa; Doha, Qatar","Hanoi, Vietnam",41,18,Qatar Airways,Luggage,Canine,,
481,481,2015,25-Jul-15,Rhino Horn,Hong Kong Airport,"Hong Kong, China","Pemba, Mozambique","Johannesburg, South Africa","Hong Kong, China",,10,,Air Freight,,,
483,483,2015,21-Sep-15,Rhino Horn,Hong Kong Airport,"Hong Kong, China","Johannesburg, South Africa",,"Hong Kong, China",10,NA,,Luggage,,,
487,487,2015,23-Dec-15,Rhino Horn,O.R. Tambo Airport,"Johannesburg, South Africa","Johannesburg, South Africa",,,10,2,,Unknown,,Taxidermy,
536,536,2012,29-Feb-12,Ivory,Cape Town Airport,"Cape Town, South Africa","Johannesburg, South Africa",,"Cape Town, South Africa",54,NA,,Airfreight,Routine Search,,
548,548,2012,11-Jul-12,Ivory,Cape Town Airport,"Cape Town, South Africa","Johannesburg, South Africa","Cape Town, South Africa","Hong Kong, China",230,NA,,Airfrieght,,,
643,643,2013,16-Dec-13,Ivory,Chingozi Airport,"Tete, Mozambique","Tete, Mozambique","Johannesburg, South Africa","Bangkok, Thailand",,NA,,Unknown,,,
691,691,2014,8-Dec-14,Ivory,Maputo Airport,"Maputo, Mozambique","Maputo, Mozambique","Johannesburg, South Africa",Thailand,43,NA,,Unknown,,,
705,705,2015,5-Apr-15,Ivory,Perth Airport,"Perth, Australia","Lilongwe, Malawi","Johannesburg, South Africa; Perth, Australia","Kuala Lumpur, Malaysia",110,NA,,Airfreight,,,
717,717,2015,2-Jul-15,Ivory,O.R. Tambo Airport,"Johannesburg, South Africa",Zimbabwe,"Johannesburg, South Africa",Vietnam,267,NA,,Airfreight,,"Labeled Incorrect (as ""handicrafts"")",
