"","unique.tot.Location."
"1","JFK Airport"
"2","Melbourne Airport"
"3","Taiwan Taoyuan Airport"
"4","Los Angeles Airport"
"5","Soekarno-Hatta Airport"
"6","Perth Airport"
"7","Kaohsiung Airport"
"8","Bengaluru Airport"
"9","Domodedovo Airport"
"10","Malta Airport"
"11","Douala Airport"
"12","Petropavlovsk Kamchatskiy Airport"
"13","Sofia Airport"
"14","Birmingham Airport"
"15","Cayenne – Felix Eboue Airport"
"16","Miami Airport"
"17","Shahjalal Airport"
"18","Zurich Airport"
"19","Belgrade Airport"
"20","Kavumu Airport"
"21","Jinnah Airport"
"22","Brasilia Airport"
"23","Sheremetyevo Airport"
"24","Tribhuvan Airport"
"25","Dubai Airport"
"26","Julio Cezar Ribeiro Airport"
"27","Ben Gurion Airport"
"28","Suvarnabhumi Airport"
"29","Vienna Airport"
"30","Gilberto Freyre Airport"
"31","Eduardo Gomes Airport"
"32","Pinto Martins Airport"
"33","Cheddi Jagan Airport"
"34","Manas Airport"
"35","Manchester Airport"
"36","Charles de Gaulle Airport"
"37","Abu Dhabi Airport"
"38","Tijuana Airport"
"39","Brussels Airport"
"40","Tenerife Sur Airport"
"41","Chhatrapati Shivaji Airport"
"42","Cairo Airport"
"43","Ugolny Airport"
"44","Madrid Barajas Airport"
"45","Faisalabad Airport"
"46","Amsterdam Airport Schiphol"
"47","Vladivostok Airport"
"48","Leeds Bradford Airport"
"49","Milan Linate Airport"
"50","Darwin Airport"
"51","Kindu Airport"
"52","Phoenix Sky Harbor Airport"
"53","Governador Andre Franco Montoro Airport"
"54","Ignacio Agramonte Airport"
"55","Simon Bolivar Airport"
"56","Changi Airport"
"57","Bacha Khan Airport"
"58","Sydney Airport"
"59","Guangzhou Baiyun Airport"
"60","Heathrow Airport"
"61","Tan Son Nhat Airport"
"62","Toronto Pearson Airport"
"63","Hermosillo Airport"
"64","Bremen Airport"
"65","Jorge Chavez Airport"
"66","Shymkent Airport"
"67","Reynosa Airport"
"68","Ninoy Aquino Airport"
"69","Maastricht Aachen Airport"
"70","Dallas/Fort Worth Airport"
"71","Ibrahim Nasir Airport"
"72","Ministro Pistarini Airport"
"73","Hong Kong Airport"
"74",""
"75","Ivato Airport"
"76","Christchurch Airport"
"77","Edmonton Airport"
"78","Kuala Lumpur Airport"
"79","Honolulu Airport"
"80","Munich Airport"
"81","Tallinn Airport"
"82","Amborovy Airport"
"83","George Bush Intercontinental Airport"
"84","Puerto Princesa Airport"
"85","Jomo Kenyatta Airport"
"86","Mopah Airport"
"87","Tiruchirappalli Airport"
"88","Seymour Airport"
"89","Orlando Airport"
"90","Indira Gandhi Airport"
"91","Entebbe Airport"
"92","Chennai Airport"
"93","Islamabad Benazir Bhutto Airport"
"94","Netaji Subhas Chandra Bose Airport"
"95","Mexico City Airport"
"96","Manuel Crescencio Rejon Airport"
"97","Goteborg Landvetter Airport"
"98","Shanghai Pudong Airport"
"99","Arrachart Airport"
"100","Xiamen Gaoqi Airport"
"101","Don Mueang Airport"
"102","Trivandrum Airport"
"103","Frankfurt Airport"
"104","Prince Said Ibrahim Airport"
"105","Weeze Airport"
"106","Pulkovo Airport"
"107","Gran Canaria Airport"
"108","Vaclav Havel Airport Prague"
"109","Hamad Airport"
"110","San Luis Potosi Airport"
"111","Guadalajara Airport"
"112","Juan Santamaria Airport"
"113","Detroit Airport"
"114","Ngurah Rai Airport"
"115","Julius Nyerere Airport"
"116","Kuwait Airport"
"117","Chubu Centrair Airport"
"118","Yantai Penglai Airport"
"119","Dusseldorf Airport"
"120","Allama Iqbal Airport"
"121","Cochin Airport"
"122","Francisco Bangoy Airport"
"123","Bandaranaike Airport"
"124","Qingdao Liuting Airport"
"125","Madurai Airport"
"126","O.R. Tambo Airport"
"127","Mozes Kilangin Airport"
"128","Bologna Guglielmo Marconi Airport"
"129","Alfredo Vasquez Cobo Airport"
"130","Lyon – Saint-Exupery Airport"
"131","Quetzalcoatl Airport"
"132","Sir Seewoosagur Ramgoolam Airport"
"133","Shannon Airport"
"134","Beijing Capital Airport"
"135","Maputo Airport"
"136","Lilongwe Airport"
"137","Noi Bai Airport"
"138","Hosea Kutako Airport"
"139","Cape Town Airport"
"140","Milan-Malpensa Airport"
"141","Juba Airport"
"142","N'djili Airport"
"143","Chengdu Shuangliu Airport"
"144","Addis Ababa Bole Airport"
"145","Wenzhou Longwan Airport"
"146","Maya-Maya Airport"
"147","Murtala Mohammed Airport"
"148","Cardiff Airport"
"149","Da Nang Airport"
"150","Dalian Zhoushuizi Airport"
"151","Fuzhou Changle Airport"
"152","Kenneth Kaunda Airport"
"153","Jinan Yaoqiang Airport"
"154","Hangzhou Xiaoshan Airport"
"155","Changsha Huanghua Airport"
"156","Harare Airport"
"157","Shenyang Taoxian Airport"
"158","Chingozi Airport"
"159","Siem Reap Airport"
"160","M'Vengue El Hadj Omar Bongo Ondimba Airport"
"161","Kigali Airport"
"162","Chileka Airport"
"163","Urumqi Diwopu Airport"
"164","Yaounde-Nsimalen Airport"
"165","King Khalid Airport"
"166","Bujumbura Airport"
"167","Moi Airport"
"168","King Shaka Airport"
"169","Hohhot Baita Airport"
"170","Borg El Arab Airport"
"171","Wuhan Tianhe Airport"
"172","Berlin Schonefeld Airport"
